0	479, 529, 470, 424, 521, 486, 420, 425, 426, 423, 396, 475, 490, 422, 419, 513, 473, 427, 399, 428, 421, 398
1	151, 158, 142, 155
2	235, 253, 238
3	188, 189, 167, 165, 187, 173, 183, 161, 178, 172, 182, 175
4	209, 220, 205, 193, 194, 211, 203, 192, 196, 216, 198, 200, 201, 190
5	27, 35, 39, 29, 38
6	306, 309, 377, 394, 354, 319, 341, 304, 305, 307
7	123, 129, 127, 114, 122
8	20, 22, 23, 14
9	267, 268, 301, 302, 276, 285, 264, 269, 265, 261, 266
10	41, 42
11	56, 71, 59
12	207, 213
13	43, 45, 44, 50, 51, 55, 40, 53, 54, 52, 49
14	97, 107, 95, 91
15	113, 128, 115, 130, 223
16	168, 180
17	110, 112
18	7
19	46
20	47
21	48
22	57
23	60
24	89
25	105
26	106
27	108
28	111
29	121
30	145
31	159
32	176
33	208
34	219
35	224
36	262
37	263
38	303
39	308
40	356
