0	412, 529, 399, 415, 427, 413, 411, 513, 414, 421, 486, 473, 428, 398
1	364, 394, 318, 304, 352, 354, 341, 311, 316, 312, 310, 306, 305, 317, 307, 309, 313, 314
2	217, 218, 209, 205, 196, 194, 203, 193, 211, 210, 198, 220, 200, 201, 190, 216
3	207, 213
4	29, 39, 35, 27, 38
5	151, 158, 142, 155
6	103, 104, 96, 102, 107, 97, 95, 91
7	5, 8, 10, 6, 9, 4
8	41, 42
9	238, 253
10	43, 45, 50, 44, 51, 54, 55, 53, 52, 49
11	74, 75, 85, 78, 82, 87, 73, 88
12	315, 319, 356
13	117, 123, 127, 118, 129, 114, 126
14	267, 268, 265, 302, 261, 266
15	59, 70, 56, 63, 68, 64, 71
16	11, 23, 21, 22, 14
17	113, 128
18	115, 130, 223
19	161, 172, 180
20	2, 7
21	160, 169, 185
22	110, 112
23	178, 189
24	46
25	47
26	48
27	57
28	60
29	89
30	105
31	106
32	108
33	111
34	121
35	122
36	145
37	159
38	163
39	165
40	167
41	168
42	176
43	208
44	219
45	224
46	262
47	263
48	303
49	308
