0	11, 36
1	2, 18
2	96, 103
3	215, 217
4	152, 162
5	131, 135
6	223, 230, 236, 238
7	176, 188
8	76, 83
9	8, 32
10	71, 75
11	196, 206
12	253, 257
13	14, 34
14	179, 191
15	66, 80
16	15, 38
17	92, 107
18	213, 216
19	177, 194
20	151, 159
21	228, 231
22	1
23	3
24	4
25	5
26	6
27	7
28	9
29	10
30	12
31	13
32	16
33	17
34	19
35	20
36	21
37	22
38	23
39	24
40	25
41	26
42	27
43	28
44	29
45	30
46	31
47	33
48	35
49	37
50	39
51	40
52	41
53	42
54	43
55	44
56	45
57	46
58	47
59	48
60	49
61	50
62	51
63	52
64	53
65	54
66	55
67	56
68	57
69	58
70	59
71	60
72	61
73	62
74	63
75	64
76	65
77	67
78	68
79	69
80	70
81	72
82	73
83	74
84	77
85	78
86	79
87	81
88	82
89	84
90	85
91	86
92	87
93	88
94	89
95	90
96	91
97	93
98	94
99	95
100	97
101	98
102	99
103	100
104	101
105	102
106	104
107	105
108	106
109	108
110	109
111	110
112	111
113	112
114	113
115	114
116	115
117	116
118	117
119	118
120	119
121	120
122	121
123	122
124	123
125	124
126	125
127	126
128	127
129	128
130	129
131	130
132	132
133	133
134	134
135	136
136	137
137	138
138	139
139	140
140	141
141	142
142	143
143	144
144	145
145	146
146	147
147	148
148	149
149	150
150	153
151	154
152	155
153	156
154	157
155	158
156	160
157	161
158	163
159	164
160	165
161	166
162	167
163	168
164	169
165	170
166	171
167	172
168	173
169	174
170	175
171	178
172	180
173	181
174	182
175	183
176	184
177	185
178	186
179	187
180	189
181	190
182	192
183	193
184	195
185	197
186	198
187	199
188	200
189	201
190	202
191	203
192	204
193	205
194	207
195	208
196	209
197	210
198	211
199	212
200	214
201	218
202	219
203	220
204	221
205	222
206	224
207	225
208	226
209	227
210	229
211	232
212	233
213	234
214	235
215	237
216	239
217	240
218	241
219	242
220	243
221	244
222	245
223	246
224	247
225	248
226	249
227	250
228	251
229	252
230	254
231	255
232	256
233	258
234	259
235	260
236	261
237	262
238	263
239	264
240	265
241	266
242	267
