68, 143
111, 241
88, 177
75, 159
113, 138
62, 181
98, 139
76, 143
94, 241
28, 146
98, 250
171, 238
45, 142
137, 208
108, 158
38, 151
27, 83
57, 230
19, 20
52, 168
62, 85
14, 214
82, 167
17, 61
107, 143
88, 134
117, 231
175, 223
126, 248
47, 69
62, 138
116, 172
73, 120
2, 122
116, 234
81, 219
46, 182
61, 119
127, 179
106, 244
37, 124
71, 239
78, 246
9, 239
14, 153
6, 107
52, 204
52, 72
12, 107
19, 263
58, 166
155, 228
53, 190
22, 114
77, 247
129, 201
26, 84
141, 209
139, 192
121, 235
135, 242
35, 79
109, 216
3, 114
56, 191
109, 223
127, 197
115, 139
136, 222
54, 95
52, 220
86, 93
43, 220
107, 174
134, 234
133, 262
155, 188
69, 109
38, 147
161, 174
55, 131
85, 157
116, 226
133, 184
47, 75
125, 261
123, 244
19, 256
72, 187
91, 157
107, 203
11, 73
80, 94
124, 163
56, 207
96, 134
41, 151
4, 189
91, 266
32, 207
