0	215, 217
1	223, 230, 238
2	176, 188
3	8, 32
4	96, 103
5	179, 191
6	14, 34
7	253, 257
8	196, 206
9	66, 80
10	177, 194
11	92, 107
12	151, 159
13	1
14	2
15	3
16	4
17	5
18	6
19	7
20	9
21	10
22	11
23	12
24	13
25	15
26	16
27	17
28	18
29	19
30	20
31	21
32	22
33	23
34	24
35	25
36	26
37	27
38	28
39	29
40	30
41	31
42	33
43	35
44	36
45	37
46	38
47	39
48	40
49	41
50	42
51	43
52	44
53	45
54	46
55	47
56	48
57	49
58	50
59	51
60	52
61	53
62	54
63	55
64	56
65	57
66	58
67	59
68	60
69	61
70	62
71	63
72	64
73	65
74	67
75	68
76	69
77	70
78	71
79	72
80	73
81	74
82	75
83	76
84	77
85	78
86	79
87	81
88	82
89	83
90	84
91	85
92	86
93	87
94	88
95	89
96	90
97	91
98	93
99	94
100	95
101	97
102	98
103	99
104	100
105	101
106	102
107	104
108	105
109	106
110	108
111	109
112	110
113	111
114	112
115	113
116	114
117	115
118	116
119	117
120	118
121	119
122	120
123	121
124	122
125	123
126	124
127	125
128	126
129	127
130	128
131	129
132	130
133	131
134	132
135	133
136	134
137	135
138	136
139	137
140	138
141	139
142	140
143	141
144	142
145	143
146	144
147	145
148	146
149	147
150	148
151	149
152	150
153	152
154	153
155	154
156	155
157	156
158	157
159	158
160	160
161	161
162	162
163	163
164	164
165	165
166	166
167	167
168	168
169	169
170	170
171	171
172	172
173	173
174	174
175	175
176	178
177	180
178	181
179	182
180	183
181	184
182	185
183	186
184	187
185	189
186	190
187	192
188	193
189	195
190	197
191	198
192	199
193	200
194	201
195	202
196	203
197	204
198	205
199	207
200	208
201	209
202	210
203	211
204	212
205	213
206	214
207	216
208	218
209	219
210	220
211	221
212	222
213	224
214	225
215	226
216	227
217	228
218	229
219	231
220	232
221	233
222	234
223	235
224	236
225	237
226	239
227	240
228	241
229	242
230	243
231	244
232	245
233	246
234	247
235	248
236	249
237	250
238	251
239	252
240	254
241	255
242	256
243	258
244	259
245	260
246	261
247	262
248	263
249	264
250	265
251	266
252	267
