0	215, 217
1	176, 188
2	76, 83
3	223, 230, 238
4	96, 103
5	152, 162
6	8, 32
7	14, 34
8	196, 206
9	179, 191
10	66, 80
11	253, 257
12	177, 194
13	92, 107
14	151, 159
15	1
16	2
17	3
18	4
19	5
20	6
21	7
22	9
23	10
24	11
25	12
26	13
27	15
28	16
29	17
30	18
31	19
32	20
33	21
34	22
35	23
36	24
37	25
38	26
39	27
40	28
41	29
42	30
43	31
44	33
45	35
46	36
47	37
48	38
49	39
50	40
51	41
52	42
53	43
54	44
55	45
56	46
57	47
58	48
59	49
60	50
61	51
62	52
63	53
64	54
65	55
66	56
67	57
68	58
69	59
70	60
71	61
72	62
73	63
74	64
75	65
76	67
77	68
78	69
79	70
80	71
81	72
82	73
83	74
84	75
85	77
86	78
87	79
88	81
89	82
90	84
91	85
92	86
93	87
94	88
95	89
96	90
97	91
98	93
99	94
100	95
101	97
102	98
103	99
104	100
105	101
106	102
107	104
108	105
109	106
110	108
111	109
112	110
113	111
114	112
115	113
116	114
117	115
118	116
119	117
120	118
121	119
122	120
123	121
124	122
125	123
126	124
127	125
128	126
129	127
130	128
131	129
132	130
133	131
134	132
135	133
136	134
137	135
138	136
139	137
140	138
141	139
142	140
143	141
144	142
145	143
146	144
147	145
148	146
149	147
150	148
151	149
152	150
153	153
154	154
155	155
156	156
157	157
158	158
159	160
160	161
161	163
162	164
163	165
164	166
165	167
166	168
167	169
168	170
169	171
170	172
171	173
172	174
173	175
174	178
175	180
176	181
177	182
178	183
179	184
180	185
181	186
182	187
183	189
184	190
185	192
186	193
187	195
188	197
189	198
190	199
191	200
192	201
193	202
194	203
195	204
196	205
197	207
198	208
199	209
200	210
201	211
202	212
203	213
204	214
205	216
206	218
207	219
208	220
209	221
210	222
211	224
212	225
213	226
214	227
215	228
216	229
217	231
218	232
219	233
220	234
221	235
222	236
223	237
224	239
225	240
226	241
227	242
228	243
229	244
230	245
231	246
232	247
233	248
234	249
235	250
236	251
237	252
238	254
239	255
240	256
241	258
242	259
243	260
244	261
245	262
246	263
247	264
248	265
249	266
250	267
