141, 182
90, 219
30, 46
80, 264
22, 208
131, 193
32, 93
102, 110
20, 45
143, 240
46, 265
101, 149
85, 244
22, 191
8, 172
111, 234
134, 168
126, 183
103, 139
18, 145
34, 210
115, 135
72, 119
6, 237
41, 51
69, 97
117, 225
81, 139
20, 256
184, 205
62, 145
42, 231
13, 252
60, 151
55, 167
3, 111
153, 254
118, 254
44, 165
111, 121
12, 210
140, 167
26, 139
157, 179
30, 223
45, 144
102, 157
90, 164
132, 190
6, 236
62, 194
47, 87
125, 244
100, 192
157, 189
138, 203
78, 181
63, 88
29, 142
86, 166
91, 93
118, 207
73, 177
33, 60
39, 244
48, 105
15, 140
43, 221
17, 72
68, 192
88, 249
73, 222
57, 161
153, 200
159, 217
78, 99
93, 114
102, 218
53, 174
77, 266
25, 45
109, 202
90, 118
56, 104
195, 238
2, 141
14, 125
108, 125
139, 233
108, 155
12, 265
116, 245
91, 141
129, 140
132, 238
27, 107
29, 238
12, 90
115, 215
12, 57
